Gene	beta	fdr	dataset	hit_class	direction	unique_hit
PRPF8	0.59289	0	top5	all	UP	0
PSMA2	0.68327	0	top5	other	UP	0
PSMA3	-0.59169	0	top5	all	DOWN	0
PSMA5	0.34242	0.082759	top5	top5	UP	1
PSMB5	0.41883	0.033333	top5	all	UP	0
PSMB6	-0.3726	0.04902	top5	all	DOWN	0
PSMC4	0.38225	0.052174	top5	top5	UP	1
PSMD13	0.48287	0.028571	top5	other	UP	0
PTAR1	-0.36159	0.053846	top5	top5	DOWN	1
PTBP1	-0.30596	0.093333	top5	top5	DOWN	1
PTPN1	0.34018	0.086667	top5	top5	UP	1
PVRL2	-0.61923	0	top5	all	DOWN	0
PYROXD1	0.31301	0.093333	top5	top5	UP	1
RABGGTB	-0.35434	0.066176	top5	all	DOWN	0
RAN	-0.7653	0	top5	all	DOWN	0
RBM39	-0.5205	0.020833	top5	all	DOWN	0
RFC5	0.34295	0.076389	top5	top5	UP	1
RFT1	0.44194	0.033333	top5	top5	UP	1
RNASEH2A	0.32876	0.093333	top5	other	UP	0
RNMT	-0.67443	0	top5	all	DOWN	0
RPL13	-0.32402	0.093333	top5	top5	DOWN	1
RPL23	0.38591	0.052174	top5	top5	UP	1
RPL28	-0.37046	0.04902	top5	other	DOWN	0
RPL36	-0.32547	0.093333	top5	other	DOWN	0
RPS13	-0.58921	0	top5	other	DOWN	0
RPS14	-0.52304	0.020833	top5	other	DOWN	0
RPS4X	0.39655	0.052174	top5	other	UP	0
RTDR1	-0.35597	0.053846	top5	other	DOWN	0
RUVBL1	-0.30998	0.093333	top5	top5	DOWN	1
SEC11A	0.3063	0.093333	top5	top5	UP	1
SF3A2	0.45061	0.033333	top5	other	UP	0
SLC25A26	0.32432	0.093333	top5	top5	UP	1
SLC35A2	-0.80605	0	top5	all	DOWN	0
SLMO2	-0.42068	0.028571	top5	all	DOWN	0
SMC1A	-0.32426	0.093333	top5	top5	DOWN	1
SMDT1	-0.7002	0	top5	all	DOWN	0
SMG6	-0.34626	0.070922	top5	top5	DOWN	1
SNAPC4	-0.49317	0.020833	top5	all	DOWN	0
SNRNP25	-0.47743	0.020833	top5	all	DOWN	0
SNW1	0.37529	0.052174	top5	other	UP	0
SPC25	0.37642	0.052174	top5	top5	UP	1
SPCS2	0.30187	0.099567	top5	top5	UP	1
SPCS3	0.37771	0.052174	top5	top5	UP	1
SRCAP	-0.58128	0	top5	other	DOWN	0
SSBP1	0.31611	0.093333	top5	all	UP	0
SSU72	0.30581	0.093333	top5	top5	UP	1
SUPV3L1	-0.32836	0.089744	top5	top5	DOWN	1
SUZ12	0.30243	0.096916	top5	top5	UP	1
TAF1B	-0.42011	0.028571	top5	all	DOWN	0
TAF2	0.4853	0.028571	top5	other	UP	0
TAF6	0.30712	0.093333	top5	top5	UP	1
TAF6L	-0.38454	0.040404	top5	other	DOWN	0
TARDBP	0.82987	0	top5	all	UP	0
TCEAL7	0.32843	0.093333	top5	top5	UP	1
TELO2	0.30484	0.093333	top5	top5	UP	1
TFAP4	0.30125999999999997	0.099567	top5	top5	UP	1
THOC1	-0.38049	0.040404	top5	top5	DOWN	1
TIMM23	0.32952	0.093333	top5	top5	UP	1
TIPRL	-0.31159	0.093333	top5	other	DOWN	0
TMEM165	-0.47615	0.020833	top5	all	DOWN	0
TOP3A	-0.41718	0.028571	top5	all	DOWN	0
TOP3B	0.30464	0.093333	top5	top5	UP	1
TRMT112	-0.41197	0.028571	top5	all	DOWN	0
TSC1	-0.60409	0	top5	all	DOWN	0
